token_savings_ratio,f1,path_mode,qa_pair_id
0.8140869140625,0.4000000000000001,b,eventqa_65536_no0
0.8137664794921875,1.0,b,eventqa_65536_no1
0.8137359619140625,1.0,b,eventqa_65536_no2
0.8140869140625,0.1111111111111111,b,eventqa_65536_no3
0.8138275146484375,1.0,b,eventqa_65536_no4
0.8129730224609375,0.4761904761904762,b,eventqa_65536_no0
0.8131866455078125,0.30769230769230765,b,eventqa_65536_no1
0.813140869140625,0.23999999999999996,b,eventqa_65536_no2
0.8129730224609375,1.0,b,eventqa_65536_no3
0.813140869140625,0.2105263157894737,b,eventqa_65536_no4
0.8120880126953125,1.0,b,eventqa_65536_no0
0.812591552734375,0.4615384615384615,b,eventqa_65536_no1
0.8118743896484375,1.0,b,eventqa_65536_no2
0.812591552734375,1.0,b,eventqa_65536_no3
0.812591552734375,1.0,b,eventqa_65536_no4
0.81280517578125,1.0,b,eventqa_65536_no0
0.81280517578125,1.0,b,eventqa_65536_no1
0.81280517578125,1.0,b,eventqa_65536_no2
0.81280517578125,0.380952380952381,b,eventqa_65536_no3
0.812896728515625,1.0,b,eventqa_65536_no4
0.8119964599609375,1.0,b,eventqa_65536_no0
0.8119964599609375,0.5,b,eventqa_65536_no1
0.81292724609375,1.0,b,eventqa_65536_no2
0.8119964599609375,1.0,b,eventqa_65536_no3
0.8119964599609375,1.0,b,eventqa_65536_no4
0.9394485421513786,1.0,b,ruler_qa1_197K_no0
0.9394287411514282,0.13333333333333333,b,ruler_qa1_197K_no1
0.9394732934013168,0.24,b,ruler_qa1_197K_no2
0.9394930944012673,0.0,b,ruler_qa1_197K_no3
0.9394633929013415,0.5,b,ruler_qa1_197K_no4
